Acoustic porosity,Bulk density (g/cc),Vp(0) (km/s),Vs(0) (km/s),C33 (GPa),C44 (GPa)
0.0149,2.52,5.57,3.33,78.19,28.03
0.0133,2.51,5.55,3.34,77.54,28.11
0.0117,2.51,5.54,3.36,76.87,28.21
0.009,2.50,5.57,3.35,77.41,27.97
0.0073,2.49,5.59,3.33,77.95,27.70
0.0065,2.50,5.60,3.32,78.22,27.53
0.0067,2.50,5.61,3.32,78.66,27.64
0.0071,2.51,5.59,3.32,78.41,27.60
0.0076,2.51,5.57,3.31,78.03,27.54
0.0087,2.51,5.52,3.29,76.72,27.25
0.0098,2.52,5.51,3.29,76.26,27.16
0.011,2.52,5.51,3.28,76.36,27.13
0.0122,2.52,5.50,3.28,76.25,27.09
0.0128,2.52,5.50,3.28,76.03,27.04
0.0134,2.52,5.49,3.28,75.92,27.03
0.0148,2.52,5.47,3.27,75.44,26.96
0.0163,2.53,5.45,3.26,75.10,26.94
0.0177,2.53,5.38,3.23,73.39,26.46
0.0182,2.52,5.27,3.17,70.18,25.36
0.0188,2.51,5.17,3.11,66.98,24.27
0.0196,2.50,5.05,3.04,63.59,23.08
0.02,2.50,4.95,2.98,61.32,22.15
0.0201,2.52,4.98,2.98,62.51,22.43
0.02,2.54,5.09,3.05,65.81,23.57
0.0199,2.54,5.24,3.13,69.63,24.92
0.0199,2.54,5.38,3.22,73.54,26.30
0.0198,2.53,5.42,3.24,74.41,26.67
0.0197,2.54,5.41,3.24,74.26,26.66
0.0196,2.55,5.42,3.25,74.85,26.93
0.0194,2.56,5.42,3.25,75.31,27.16
0.0193,2.57,5.42,3.26,75.61,27.34
0.019,2.57,5.49,3.30,77.60,28.05
0.0191,2.57,5.46,3.28,76.58,27.67
0.0195,2.56,5.30,3.19,71.92,25.99
0.0199,2.56,5.17,3.11,68.34,24.67
0.0201,2.56,5.07,3.05,65.74,23.76
0.0202,2.56,4.98,2.99,63.32,22.91
0.0204,2.56,4.94,2.97,62.47,22.60
0.0207,2.56,4.98,2.99,63.43,22.90
0.0211,2.55,5.07,3.04,65.64,23.64
0.0214,2.55,5.16,3.09,67.80,24.38
0.0217,2.55,5.25,3.14,70.04,25.16
0.0223,2.55,5.30,3.18,71.43,25.73
0.0227,2.56,5.34,3.22,73.06,26.50
0.0229,2.58,5.33,3.22,73.42,26.87
0.023,2.61,5.28,3.20,72.63,26.76
0.0229,2.62,5.26,3.20,72.41,26.73
0.0228,2.62,5.24,3.19,71.99,26.63
0.0223,2.62,5.26,3.20,72.51,26.78
0.0215,2.63,5.28,3.21,73.33,27.05
0.021,2.62,5.31,3.22,74.08,27.27
0.0209,2.61,5.34,3.24,74.44,27.33
0.0209,2.60,5.33,3.22,73.71,26.98
0.021,2.59,5.32,3.21,73.23,26.72
0.0213,2.59,5.31,3.21,72.92,26.65
0.0215,2.59,5.29,3.20,72.34,26.47
0.0216,2.59,5.28,3.19,72.00,26.33
0.0217,2.58,5.29,3.20,72.27,26.37
0.0217,2.57,5.31,3.20,72.53,26.40
0.0219,2.57,5.32,3.20,72.59,26.38
0.0222,2.57,5.33,3.22,73.04,26.54
0.0225,2.57,5.36,3.23,73.82,26.88
0.0228,2.58,5.36,3.24,74.08,27.03
0.023,2.58,5.29,3.20,72.43,26.47
0.0232,2.59,5.23,3.17,70.77,25.91
0.0235,2.59,5.21,3.16,70.39,25.81
0.0236,2.60,5.19,3.15,70.23,25.82
0.0238,2.62,5.18,3.14,70.10,25.82
0.0239,2.62,5.19,3.15,70.69,26.06
0.0241,2.62,5.21,3.17,71.15,26.26
0.0243,2.62,5.18,3.15,70.40,26.03
0.0244,2.63,5.16,3.14,70.14,26.02
0.0246,2.64,5.15,3.14,70.18,26.13
0.0246,2.65,5.15,3.15,70.25,26.17
0.0246,2.64,5.16,3.15,70.36,26.15
0.0246,2.63,5.17,3.15,70.43,26.12
0.0246,2.63,5.16,3.14,70.21,26.02
0.0246,2.64,5.15,3.14,70.15,26.05
0.0248,2.65,5.17,3.15,70.78,26.35
0.0249,2.65,5.20,3.17,71.62,26.61
0.0251,2.64,5.23,3.19,72.29,26.82
0.0254,2.63,5.24,3.19,72.37,26.85
0.0258,2.63,5.24,3.19,72.27,26.83
0.0261,2.63,5.22,3.18,71.63,26.58
0.0265,2.63,5.19,3.16,70.79,26.24
0.0268,2.62,5.18,3.15,70.25,26.02
0.027,2.62,5.17,3.14,69.82,25.84
0.0278,2.62,5.14,3.13,69.09,25.62
0.0287,2.61,5.11,3.11,68.20,25.34
0.0299,2.61,5.09,3.10,67.64,25.14
0.0306,2.61,5.08,3.10,67.13,24.98
0.0312,2.61,5.06,3.09,66.80,24.88
0.0325,2.62,5.04,3.08,66.62,24.90
0.0334,2.63,5.02,3.07,66.24,24.78
0.0338,2.63,4.99,3.05,65.57,24.52
0.0342,2.64,4.96,3.03,64.98,24.30
0.0343,2.64,4.94,3.02,64.53,24.16
0.0344,2.64,4.92,3.01,64.01,23.99
0.0345,2.64,4.89,2.99,63.19,23.62
0.0345,2.64,4.87,2.98,62.70,23.44
0.0347,2.65,4.88,2.99,63.04,23.68
0.0348,2.65,4.90,3.01,63.51,23.94
0.0347,2.64,4.92,3.02,64.07,24.12
0.0346,2.64,4.95,3.03,64.68,24.32
0.0341,2.65,4.99,3.06,65.85,24.81
0.0335,2.65,5.00,3.07,66.45,25.08
0.0326,2.66,4.99,3.07,66.24,24.96
0.0321,2.65,5.02,3.08,66.73,25.05
0.0316,2.64,5.05,3.09,67.20,25.14
0.0309,2.63,5.04,3.08,67.06,25.03
0.0304,2.64,5.01,3.06,66.08,24.68
0.0301,2.64,4.99,3.05,65.61,24.51
0.0299,2.64,4.94,3.02,64.59,24.12
0.0299,2.65,4.90,3.00,63.59,23.80
0.0298,2.66,4.85,2.97,62.62,23.48
0.0296,2.66,4.88,2.99,63.43,23.81
0.0291,2.66,4.92,3.01,64.40,24.17
0.0286,2.66,4.98,3.05,65.93,24.70
0.0285,2.64,5.03,3.07,66.83,24.92
0.0284,2.63,5.08,3.09,67.76,25.16
0.0285,2.63,5.10,3.11,68.23,25.34
0.0289,2.63,5.13,3.13,69.39,25.83
0.0296,2.64,5.15,3.15,70.02,26.15
0.0305,2.65,5.11,3.13,69.19,25.95
0.031,2.65,5.08,3.11,68.33,25.66
0.0314,2.65,5.04,3.09,67.42,25.36
0.0324,2.65,4.97,3.05,65.54,24.67
0.0333,2.66,4.87,2.99,63.12,23.76
0.0344,2.67,4.81,2.95,61.72,23.23
0.035,2.67,4.75,2.91,60.25,22.70
0.0356,2.67,4.69,2.88,58.74,22.16
0.0368,2.67,4.68,2.87,58.44,22.04
0.0381,2.67,4.70,2.89,59.13,22.33
0.0395,2.68,4.73,2.91,59.82,22.64
0.0407,2.68,4.74,2.92,60.32,22.83
0.0411,2.69,4.76,2.93,60.82,23.02
0.0416,2.68,4.78,2.94,61.24,23.19
0.0423,2.68,4.77,2.94,61.08,23.09
0.0428,2.68,4.73,2.91,59.77,22.60
0.0434,2.67,4.66,2.86,57.95,21.90
0.0442,2.67,4.63,2.85,57.20,21.61
0.0447,2.67,4.63,2.85,57.13,21.59
0.0452,2.67,4.63,2.84,57.09,21.59
0.046,2.67,4.66,2.87,57.93,21.92
0.0464,2.67,4.74,2.92,60.05,22.69
0.0467,2.66,4.78,2.93,60.78,22.93
0.0468,2.66,4.78,2.93,60.73,22.91
0.047,2.66,4.78,2.93,60.72,22.90
0.0472,2.66,4.76,2.92,60.38,22.74
0.0476,2.67,4.70,2.88,58.97,22.19
0.0486,2.67,4.67,2.87,58.18,21.92
0.05,2.66,4.67,2.87,58.07,21.92
0.0506,2.65,4.67,2.87,57.89,21.82
0.0512,2.65,4.67,2.87,57.73,21.74
0.0523,2.65,4.66,2.86,57.43,21.65
0.0531,2.65,4.64,2.85,57.00,21.48
0.0536,2.65,4.61,2.83,56.41,21.21
0.0539,2.65,4.61,2.82,56.22,21.09
0.0541,2.63,4.61,2.82,55.89,20.91
0.0546,2.62,4.64,2.83,56.41,21.02
0.0554,2.63,4.66,2.85,57.11,21.26
0.0563,2.64,4.69,2.87,58.14,21.70
0.0573,2.65,4.72,2.88,58.96,22.05
0.0578,2.66,4.72,2.88,59.15,22.14
0.0582,2.66,4.72,2.89,59.21,22.18
0.0587,2.66,4.66,2.85,57.70,21.60
0.0587,2.65,4.56,2.79,55.04,20.59
0.0585,2.64,4.50,2.75,53.48,20.00
0.0585,2.63,4.49,2.75,53.09,19.84
0.0585,2.63,4.48,2.74,52.87,19.75
0.0587,2.64,4.50,2.75,53.39,19.95
0.0589,2.65,4.57,2.79,55.21,20.65
0.0591,2.65,4.64,2.84,57.00,21.34
0.0593,2.65,4.67,2.86,57.78,21.63
0.0594,2.64,4.69,2.87,58.04,21.70
0.0596,2.64,4.70,2.87,58.35,21.78
0.0603,2.64,4.65,2.84,57.00,21.23
0.061,2.65,4.57,2.79,55.20,20.55
0.0616,2.65,4.49,2.74,53.38,19.90
0.0618,2.66,4.46,2.72,52.77,19.70
0.062,2.66,4.43,2.71,52.17,19.50
0.0625,2.67,4.42,2.70,52.12,19.48
0.063,2.66,4.41,2.70,51.90,19.36
0.0633,2.66,4.43,2.70,52.21,19.40
0.0633,2.66,4.45,2.71,52.50,19.47
0.0631,2.66,4.47,2.72,53.07,19.71
0.063,2.67,4.49,2.74,53.71,19.98
0.0629,2.67,4.50,2.75,54.20,20.23
0.0632,2.67,4.52,2.76,54.61,20.41
0.0636,2.67,4.52,2.76,54.58,20.37
0.0636,2.67,4.46,2.73,53.18,19.85
0.0634,2.68,4.43,2.71,52.61,19.66
0.0632,2.68,4.41,2.70,52.10,19.49
0.0628,2.68,4.43,2.71,52.59,19.70
0.0629,2.68,4.45,2.72,52.98,19.82
0.0638,2.67,4.49,2.74,53.79,20.02
0.0643,2.66,4.47,2.73,53.24,19.80
0.0648,2.67,4.45,2.71,52.87,19.64
0.0656,2.68,4.44,2.71,52.76,19.64
0.0664,2.68,4.44,2.71,52.89,19.73
0.0678,2.67,4.43,2.70,52.44,19.51
0.0694,2.66,4.43,2.69,52.11,19.26
0.0702,2.63,4.42,2.68,51.51,18.96
0.0711,2.63,4.41,2.67,51.12,18.74
0.0728,2.63,4.38,2.65,50.34,18.42
0.0741,2.63,4.38,2.65,50.59,18.50
0.0749,2.64,4.41,2.66,51.45,18.76
0.0751,2.64,4.41,2.66,51.29,18.67
0.0754,2.64,4.40,2.65,50.98,18.53
0.0756,2.62,4.40,2.65,50.72,18.39
0.0758,2.62,4.38,2.64,50.24,18.18
0.076,2.61,4.33,2.61,49.09,17.74
0.0764,2.62,4.29,2.58,48.16,17.44
0.0765,2.63,4.31,2.60,48.81,17.72
0.0767,2.64,4.33,2.61,49.53,18.02
0.0767,2.65,4.37,2.64,50.59,18.51
0.0762,2.66,4.40,2.67,51.54,18.89
0.0751,2.66,4.45,2.69,52.65,19.25
0.0743,2.65,4.42,2.67,51.73,18.90
0.0735,2.65,4.38,2.65,50.87,18.57
0.0719,2.65,4.32,2.61,49.55,18.08
0.0706,2.66,4.28,2.59,48.69,17.82
0.07,2.66,4.27,2.59,48.46,17.80
0.0698,2.67,4.27,2.60,48.81,17.99
0.0697,2.68,4.28,2.60,49.13,18.14
0.0697,2.69,4.29,2.61,49.45,18.30
0.0695,2.70,4.32,2.63,50.24,18.67
0.0689,2.70,4.32,2.63,50.51,18.76
0.0685,2.70,4.32,2.63,50.35,18.66
0.0683,2.70,4.33,2.64,50.70,18.78
0.0683,2.71,4.34,2.64,50.92,18.84
0.0683,2.71,4.34,2.64,51.14,18.90
0.0684,2.71,4.32,2.62,50.71,18.69
0.0688,2.71,4.32,2.62,50.53,18.59
0.0695,2.70,4.32,2.62,50.52,18.62
0.07,2.69,4.32,2.62,50.19,18.46
0.0705,2.67,4.31,2.61,49.74,18.27
0.0713,2.66,4.36,2.64,50.41,18.48
0.0717,2.64,4.42,2.67,51.49,18.85
0.0721,2.64,4.43,2.68,51.85,18.99
0.0726,2.64,4.44,2.69,52.15,19.11
0.0727,2.65,4.42,2.68,51.83,19.00
0.0728,2.65,4.40,2.67,51.47,18.87
0.0727,2.66,4.38,2.65,50.97,18.63
0.0722,2.67,4.37,2.64,50.99,18.66
0.072,2.68,4.33,2.63,50.31,18.51
0.0718,2.69,4.28,2.60,49.34,18.19
0.0716,2.69,4.24,2.57,48.31,17.85
0.0702,2.70,4.24,2.58,48.54,17.92
0.0671,2.70,4.28,2.60,49.39,18.28
0.063,2.71,4.33,2.64,50.80,18.92
0.0577,2.71,4.39,2.69,52.19,19.54
0.0549,2.70,4.39,2.69,52.15,19.54
0.0521,2.70,4.39,2.69,52.13,19.54
0.0467,2.70,4.38,2.68,51.83,19.45
0.0416,2.69,4.45,2.74,53.35,20.22
0.0368,2.66,4.66,2.89,57.86,22.15
0.0348,2.62,4.94,3.04,64.02,24.22
0.0328,2.59,5.25,3.21,71.40,26.73
0.0298,2.57,5.52,3.38,78.33,29.43
0.0271,2.55,5.68,3.49,82.44,31.06
0.0241,2.54,5.67,3.47,81.64,30.60
0.0207,2.53,5.60,3.41,79.38,29.41
0.0194,2.52,5.53,3.35,77.06,28.33
0.0181,2.52,5.45,3.29,74.92,27.32
0.017,2.52,5.27,3.16,70.14,25.11
0.0169,2.53,5.06,3.00,64.67,22.84
0.0175,2.54,4.96,2.95,62.61,22.17
0.018,2.54,5.01,2.98,63.76,22.57
0.0185,2.53,5.05,3.01,64.66,22.87
0.0196,2.52,5.16,3.09,67.25,24.06
0.0207,2.51,5.32,3.20,71.20,25.79
0.0216,2.52,5.32,3.21,71.28,25.97
0.0216,2.52,5.21,3.15,68.34,24.94
0.0211,2.52,5.22,3.15,68.83,25.09
0.0207,2.53,5.24,3.16,69.29,25.24
0.0193,2.52,5.24,3.15,69.23,25.11
0.0182,2.52,5.22,3.14,68.69,24.82
0.0173,2.51,5.26,3.15,69.47,24.97
0.0168,2.51,5.28,3.16,70.15,25.05
0.0166,2.53,5.30,3.16,70.87,25.26
0.0164,2.55,5.31,3.17,71.85,25.56
0.0162,2.57,5.41,3.23,75.09,26.84
0.0161,2.58,5.49,3.28,77.57,27.80
0.0162,2.59,5.51,3.30,78.43,28.19
0.0162,2.59,5.52,3.31,79.12,28.49
0.0162,2.60,5.54,3.33,79.71,28.75
0.016,2.60,5.49,3.30,78.22,28.24
0.0157,2.60,5.40,3.24,75.80,27.39
0.0155,2.61,5.33,3.20,73.97,26.76
0.0153,2.62,5.28,3.18,72.90,26.38
0.0151,2.63,5.26,3.16,72.50,26.29
0.015,2.63,5.23,3.15,72.01,26.18
0.0147,2.63,5.23,3.15,72.05,26.17
0.0145,2.63,5.25,3.16,72.42,26.29
0.0144,2.63,5.24,3.16,72.34,26.24
0.0145,2.63,5.26,3.17,72.99,26.53
0.0146,2.64,5.28,3.19,73.70,26.83
0.0149,2.64,5.35,3.23,75.59,27.60
0.0152,2.65,5.40,3.27,77.08,28.21
0.0154,2.65,5.45,3.30,78.68,28.85
0.0154,2.65,5.48,3.32,79.59,29.18
0.0152,2.65,5.43,3.29,78.35,28.75
0.015,2.65,5.39,3.27,77.06,28.30
0.0143,2.65,5.34,3.23,75.58,27.61
0.0135,2.64,5.31,3.20,74.45,27.02
0.0129,2.63,5.31,3.19,74.23,26.81
0.0127,2.63,5.37,3.22,75.66,27.27
0.0124,2.63,5.42,3.25,77.25,27.76
0.0123,2.63,5.47,3.28,78.66,28.29
0.0123,2.62,5.51,3.31,79.73,28.73
0.0123,2.61,5.55,3.33,80.39,28.94
0.0119,2.60,5.55,3.32,79.87,28.57
0.0117,2.58,5.53,3.30,79.01,28.09
0.0114,2.57,5.52,3.28,78.34,27.67
0.0109,2.57,5.44,3.23,76.15,26.81
0.0107,2.57,5.39,3.19,74.63,26.19
0.0112,2.57,5.35,3.17,73.67,25.89
0.0123,2.58,5.30,3.16,72.49,25.69
0.0133,2.60,5.32,3.18,73.36,26.31
0.0142,2.62,5.33,3.21,74.39,26.97
0.0163,2.64,5.31,3.22,74.41,27.33
0.0183,2.65,5.27,3.21,73.66,27.28
0.02,2.66,5.25,3.20,73.29,27.20
0.0206,2.65,5.22,3.18,72.16,26.79
0.0212,2.64,5.18,3.16,71.02,26.37
0.022,2.64,5.13,3.12,69.51,25.72
0.0226,2.64,5.08,3.09,68.23,25.17
0.0237,2.64,5.01,3.04,66.20,24.43
0.0249,2.63,4.93,3.00,64.08,23.70
0.0255,2.63,4.94,3.01,64.08,23.76
0.0261,2.64,4.94,3.01,64.37,23.92
0.027,2.66,4.98,3.05,65.87,24.69
0.0273,2.67,5.01,3.08,67.17,25.35
0.0269,2.67,5.05,3.10,68.08,25.69
0.0265,2.66,5.04,3.09,67.68,25.40
0.0261,2.64,5.04,3.08,67.20,25.08
0.0252,2.63,5.02,3.06,66.30,24.60
0.0244,2.63,5.02,3.05,66.14,24.46
0.0242,2.63,5.04,3.07,66.83,24.76
0.0245,2.64,5.04,3.08,67.25,25.05
0.0249,2.65,5.02,3.07,66.71,24.91
0.0252,2.65,4.99,3.05,66.11,24.73
0.0259,2.66,5.03,3.08,67.32,25.24
0.0261,2.65,5.07,3.10,68.16,25.53
0.026,2.64,5.04,3.08,67.19,25.06
0.0259,2.63,4.99,3.05,65.56,24.39
0.0257,2.63,4.94,3.01,64.15,23.82
0.0254,2.63,4.85,2.95,61.75,22.92
0.0252,2.64,4.79,2.92,60.57,22.50
0.0253,2.65,4.83,2.95,61.67,22.97
0.0257,2.66,4.92,3.01,64.23,24.00
0.026,2.67,4.96,3.04,65.61,24.62
0.0263,2.68,5.00,3.07,67.08,25.28
0.0269,2.70,4.92,3.02,65.22,24.66
0.0274,2.70,4.85,2.98,63.46,24.01
0.0279,2.70,4.82,2.97,62.89,23.78
0.0281,2.70,4.84,2.97,63.18,23.82
0.0283,2.69,4.86,2.98,63.37,23.82
0.029,2.68,4.91,3.01,64.55,24.23
0.0303,2.68,4.86,2.98,63.51,23.84
0.0321,2.69,4.73,2.91,60.25,22.70
0.0338,2.69,4.67,2.87,58.71,22.18
0.0337,2.69,4.66,2.87,58.45,22.09
0.0336,2.69,4.66,2.86,58.24,22.02
0.0323,2.69,4.66,2.86,58.36,22.04
0.0306,2.68,4.65,2.86,58.14,21.88
0.0286,2.67,4.56,2.79,55.65,20.76
0.0264,2.65,4.44,2.70,52.28,19.33
0.0252,2.62,4.44,2.69,51.62,18.87
0.024,2.59,4.44,2.67,50.98,18.43
0.0214,2.63,4.62,2.81,56.07,20.72
0.0186,2.63,4.86,2.95,62.04,22.83
0.0158,2.63,5.09,3.08,68.18,24.88
0.0143,2.61,5.21,3.15,70.97,25.85
0.0128,2.60,5.34,3.22,73.96,26.88
0.0094,2.55,5.31,3.18,71.82,25.81
0.0057,2.55,5.28,3.13,71.13,24.98
0.0021,2.55,5.24,3.06,69.99,23.92
0.0005,2.56,5.17,3.00,68.58,23.13
0.0004,2.56,5.14,2.98,67.75,22.82
0.0003,2.61,5.11,2.96,68.21,22.94
0.0007,2.63,5.05,2.93,67.01,22.62
0.0012,2.65,5.08,2.96,68.28,23.16
0.002,2.66,5.09,3.00,68.91,24.01
0.0024,2.68,4.90,2.88,64.42,22.21
0.0028,2.68,4.73,2.77,60.01,20.49
0.0036,2.68,4.65,2.72,57.97,19.87
0.0044,2.66,4.65,2.74,57.62,19.96
0.0053,2.65,4.73,2.79,59.28,20.64
0.0063,2.63,5.09,3.01,68.07,23.88
0.0069,2.63,5.09,3.02,68.07,24.01
0.0075,2.63,5.09,3.03,68.07,24.14
0.0087,2.63,5.31,3.17,74.20,26.41
0.0099,2.63,5.20,3.11,70.99,25.42
0.011,2.63,5.01,3.01,66.08,23.76
0.0116,2.63,4.92,2.95,63.57,22.91
0.0122,2.63,4.82,2.90,61.21,22.10
0.0136,2.61,4.83,2.90,60.86,22.01
0.0151,2.60,4.93,2.96,63.12,22.77
0.0169,2.58,5.09,3.06,66.96,24.15
0.0187,2.57,5.20,3.13,69.38,25.10
0.0196,2.56,5.24,3.15,70.26,25.43
0.0206,2.56,5.28,3.18,71.27,25.82
0.0224,2.56,5.30,3.20,71.86,26.16
0.024,2.57,5.28,3.19,71.40,26.05
0.0253,2.57,5.22,3.15,69.97,25.52
0.0262,2.57,5.17,3.12,68.56,24.98
0.0265,2.57,5.10,3.09,67.01,24.50
0.0269,2.58,5.04,3.05,65.66,24.09
0.0275,2.60,5.02,3.04,65.33,24.06
0.0281,2.61,5.03,3.06,65.90,24.38
0.0286,2.62,5.02,3.06,65.83,24.45
0.0287,2.62,4.99,3.04,65.27,24.24
0.0289,2.61,4.97,3.03,64.63,24.00
0.0288,2.61,4.93,3.01,63.46,23.62
0.0282,2.62,4.90,2.99,62.81,23.43
0.0273,2.62,4.94,3.01,63.90,23.84
0.0263,2.63,5.00,3.05,65.82,24.51
0.0258,2.63,5.06,3.09,67.41,25.10
0.0254,2.64,5.12,3.12,69.03,25.71
0.0248,2.64,5.13,3.13,69.46,25.81
0.0246,2.65,5.09,3.10,68.42,25.44
0.0249,2.66,5.03,3.07,67.05,25.04
0.0252,2.67,5.03,3.08,67.55,25.34
0.0254,2.68,5.04,3.09,68.02,25.62
0.026,2.69,5.08,3.13,69.44,26.24
0.0265,2.69,5.11,3.14,70.18,26.55
0.0268,2.67,5.11,3.14,69.86,26.34
0.027,2.66,5.09,3.12,68.88,25.81
0.0271,2.64,5.03,3.08,66.82,25.02
0.0272,2.65,4.96,3.04,65.22,24.40
0.0279,2.66,4.92,3.02,64.44,24.19
0.0291,2.67,4.94,3.03,65.27,24.59
0.0305,2.68,4.98,3.06,66.30,25.07
0.0311,2.68,4.95,3.05,65.69,24.88
0.0318,2.68,4.93,3.03,65.13,24.70
0.0326,2.69,4.91,3.03,64.91,24.68
0.033,2.69,4.87,3.00,63.80,24.24
0.0332,2.69,4.79,2.95,61.55,23.29
0.0335,2.68,4.76,2.92,60.57,22.82
0.0337,2.67,4.76,2.92,60.46,22.76
0.0339,2.67,4.76,2.92,60.49,22.75
0.0344,2.68,4.78,2.94,61.20,23.08
0.0351,2.69,4.84,2.98,62.87,23.83
0.036,2.69,4.87,3.01,63.88,24.32
0.0366,2.69,4.86,3.00,63.61,24.19
0.0372,2.68,4.85,2.99,63.11,23.97
0.0388,2.67,4.83,2.97,62.15,23.57
0.0402,2.67,4.79,2.95,61.14,23.19
0.041,2.68,4.75,2.93,60.49,22.99
0.0415,2.69,4.73,2.92,60.29,22.96
0.0417,2.70,4.70,2.90,59.54,22.63
0.042,2.69,4.66,2.87,58.56,22.22
0.0425,2.69,4.61,2.83,57.11,21.51
0.0428,2.68,4.60,2.81,56.76,21.17
0.0429,2.69,4.58,2.80,56.56,21.08
0.0433,2.70,4.52,2.78,55.18,20.82
0.0437,2.71,4.51,2.78,55.07,20.86
0.0441,2.71,4.50,2.78,54.86,20.86
0.0452,2.70,4.53,2.79,55.37,21.09
0.0461,2.70,4.51,2.79,54.92,20.95
0.0461,2.70,4.56,2.82,56.15,21.43
0.0454,2.70,4.62,2.86,57.79,22.10
0.0448,2.72,4.68,2.90,59.58,22.83
0.0427,2.72,4.61,2.85,57.75,22.06
0.0405,2.72,4.56,2.81,56.56,21.50
0.0382,2.71,4.55,2.80,55.95,21.16
0.0357,2.70,4.49,2.76,54.45,20.56
0.0344,2.69,4.52,2.78,55.02,20.75
0.0331,2.69,4.55,2.79,55.68,20.98
0.0308,2.69,4.69,2.89,59.15,22.39
0.0286,2.67,4.83,2.97,62.22,23.58
